"val";"name"
1159;"Powiat bocheński"
4982;"Powiat krakowski"
868;"Powiat miechowski"
1732;"Powiat myślenicki"
890;"Powiat proszowicki"
2049;"Powiat wielicki"
11978;"Powiat m. Kraków"
2363;"Powiat gorlicki"
3696;"Powiat limanowski"
6547;"Powiat nowosądecki"
1695;"Powiat m. Nowy Sącz"
2708;"Powiat chrzanowski"
3243;"Powiat olkuski"
2727;"Powiat oświęcimski"
3048;"Powiat wadowicki"
1713;"Powiat brzeski"
2212;"Powiat dąbrowski"
4361;"Powiat tarnowski"
2316;"Powiat m. Tarnów"
3834;"Powiat nowotarski"
1423;"Powiat suski"
2225;"Powiat tatrzański"
1915;"Powiat bielski"
3359;"Powiat cieszyński"
2571;"Powiat żywiecki"
1975;"Powiat m. Bielsko-Biała"
1506;"Powiat lubliniecki"
2447;"Powiat tarnogórski"
3901;"Powiat m. Bytom"
1113;"Powiat m. Piekary Śląskie"
2730;"Powiat częstochowski"
2275;"Powiat kłobucki"
1685;"Powiat myszkowski"
3760;"Powiat m. Częstochowa"
1441;"Powiat gliwicki"
2679;"Powiat m. Gliwice"
2374;"Powiat m. Zabrze"
1450;"Powiat m. Chorzów"
2849;"Powiat m. Katowice"
1234;"Powiat m. Mysłowice"
1194;"Powiat m. Ruda Śląska"
948;"Powiat m. Siemianowice Śląskie"
571;"Powiat m. Świętochłowice"
1522;"Powiat raciborski"
859;"Powiat rybnicki"
2338;"Powiat wodzisławski"
1128;"Powiat m. Jastrzębie-Zdrój"
1552;"Powiat m. Rybnik"
752;"Powiat m. Żory"
2677;"Powiat będziński"
2104;"Powiat zawierciański"
2624;"Powiat m. Dąbrowa Górnicza"
1368;"Powiat m. Jaworzno"
3658;"Powiat m. Sosnowiec"
1104;"Powiat mikołowski"
1404;"Powiat pszczyński"
448;"Powiat bieruńsko-lędziński"
1163;"Powiat m. Tychy"
847;"Powiat gorzowski"
1428;"Powiat międzyrzecki"
388;"Powiat słubicki"
1526;"Powiat strzelecko-drezdenecki"
479;"Powiat sulęciński"
1402;"Powiat m. Gorzów Wielkopolski"
1032;"Powiat krośnieński"
1601;"Powiat nowosolski"
713;"Powiat świebodziński"
1832;"Powiat zielonogórski"
