"val";"name"
11,5;"Powiat inowroc³awski"
9,5;"Powiat mogileñski"
10,7;"Powiat nakielski"
8,8;"Powiat ¿niñski"
10,2;"Powiat sêpoleñski"
6;"Powiat œwiecki"
9,5;"Powiat tucholski"
5,1;"Powiat gdañski"
3,7;"Powiat kartuski"
13;"Powiat nowodworski"
6,2;"Powiat pucki"
5,9;"Powiat wejherowski"
9;"Powiat bytowski"
10,1;"Powiat lêborski"
9,8;"Powiat s³upski"
5,9;"Powiat m.S³upsk"
6,5;"Powiat kwidzyñski"
9,3;"Powiat malborski"
6;"Powiat starogardzki"
6,3;"Powiat tczewski"
6,9;"Powiat sztumski"
3,3;"Powiat m.Gdañsk"
2,7;"Powiat m.Gdynia"
1,9;"Powiat m.Sopot"
7,8;"Powiat chojnicki"
11,1;"Powiat cz³uchowski"
6,7;"Powiat koœcierski"
17;"Powiat braniewski"
11,4;"Powiat dzia³dowski"
13,5;"Powiat elbl¹ski"
4;"Powiat i³awski"
9,2;"Powiat nowomiejski"
9,2;"Powiat ostródzki"
6,8;"Powiat m.Elbl¹g"
10,6;"Powiat e³cki"
7,7;"Powiat gi¿ycki"
9,8;"Powiat olecki"
13,3;"Powiat piski"
7,3;"Powiat go³dapski"
13,7;"Powiat wêgorzewski"
16,1;"Powiat bartoszycki"
17,1;"Powiat kêtrzyñski"
11,1;"Powiat lidzbarski"
8,6;"Powiat mr¹gowski"
5,9;"Powiat nidzicki"
8;"Powiat olsztyñski"
9,2;"Powiat szczycieñski"
2,5;"Powiat m.Olsztyn"
6;"Powiat ³ódzki wschodni"
6,3;"Powiat pabianicki"
5,6;"Powiat zgierski"
6,5;"Powiat brzeziñski"
6;"Powiat m.£ódŸ"
4,9;"Powiat be³chatowski"
6,4;"Powiat opoczyñski"
5,5;"Powiat piotrkowski"
4,7;"Powiat radomszczañski"
7,3;"Powiat tomaszowski"
5,7;"Powiat m.Piotrków Trybunalski"
7;"Powiat ³aski"
6,9;"Powiat pajêczañski"
5,8;"Powiat poddêbicki"
4,7;"Powiat sieradzki"
5;"Powiat wieluñski"
4,4;"Powiat wieruszowski"
6,5;"Powiat zduñskowolski"
7,6;"Powiat kutnowski"
5,4;"Powiat ³êczycki"
